medallion,hack_license,vendor_id,pickup_datetime	rate_code,store_and_fwd_flag,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
2013000415,2013000413,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:27:00,1,1440,5.94,-73.993683,40.749886,-73.926117,40.772018,CSH,22,0.5,0.5,0,0,23
2013000420,2013000418,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:15:00,6,720,2.30,-73.968643,40.761745,-73.980782,40.735416,CSH,10,0.5,0.5,0,0,11
2013000427,2013000425,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:13:00,3,600,3.88,-73.954796,40.779186,-73.98468,40.733131,CRD,12.5,0.5,0.5,2.6,0,16.1
2013000433,2013000431,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:05:00,1,120,1.12,-73.965721,40.754436,-73.956863,40.766544,CSH,5,0.5,0.5,0,0,6
2013000439,2013000437,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:06:00,5,180,.59,-73.993675,40.727268,-73.991653,40.734322,CSH,4.5,0.5,0.5,0,0,5.5
2013000445,2013000443,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:13:00,3,600,3.33,-73.987511,40.72258,-73.961525,40.760296,CRD,11.5,0.5,0.5,3,0,15.5
2013000450,2013000448,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:08:00,1,300,2.14,-73.959091,40.780426,-73.940224,40.806355,CSH,7.5,0.5,0.5,0,0,8.5
2013000457,2013000455,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:22:00,4,1140,10.30,-73.976784,40.750706,-73.860573,40.835564,CSH,29.5,0.5,0.5,0,0,30.5
2013000462,2013000460,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:10:00,1,420,.89,-73.993263,40.733292,-73.979164,40.728172,CRD,6.5,0.5,0.5,1.4,0,8.9
2013000469,2013000467,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:17:00,1,840,2.06,-73.991928,40.721977,-73.978188,40.745796,CSH,11,0.5,0.5,0,0,12
2013000474,2013000472,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:17:00,2,840,5.50,-73.974586,40.680187,-73.986107,40.722336,CSH,18.5,0.5,0.5,0,0,19.5
2013000484,2013000482,CMT,2013-01-01 00:03:09	1,,2013-01-01 00:20:00,5,1020,4.11,-73.965355,40.806221,-73.996887,40.756962,CRD,16.5,0.5,0.5,3,0,20.5
2013000487,2013000485,CMT,2013-01-01 00:03:10	1,N,2013-01-01 00:07:57,2,287,.50,-73.971313,40.757797,-73.97892,40.7565,CSH,5,0.5,0.5,0,0,6
2013000499,2013000497,CMT,2013-01-01 00:03:17	1,N,2013-01-01 00:13:29,1,618,1.60,-73.995995,40.759136,-73.990562,40.747749,CSH,9,0.5,0.5,0,0,10
